DVM,AR_IB_FF_Lookups,
Config_Name,config_value,BU_ID,LE_Name,ERP_ReasonCode,Product_Code,Payment_Terms,UOM,LE_Identifier,TransactionType,Tax_Regime,Tax,Tax_Jurisdiction,Tax_Status,Tax_Rate_Code,Default_Taxation_Country
SpringCM14 Contract Termination,,,,,,,,,SCM14 CNTRCT TRMN,,,,,,
SpringCM16 Contractual Credit,,,,,,,,,SCM 16 CNTRCT CR,,,,,,
SpringCM17 WO Bankrupt,,,,,,,,,SCM FF 17 WO Bankrpt,,,,,,
SpringCM11 Billing Correction,,,,,,,,,SCM 11 Billing CX,,,,,,
SpringCM13 Concession Credit,,,,,,,,,SCM 13 Concession CR,,,,,,
Liveoak Technologies18 WO Customer Dispute,,,,,,,,,LOT FF 18 WO CX Disp,,,,,,
Liveoak Technologies19 WO Low Value,,,,,,,,,LOT FF 19 WO Low Val,,,,,,
Liveoak Technologies20 WO Uncontactable,,,,,,,,,LOT FF 19 WO Low Val,,,,,,
Liveoak Technologies21 WO Unable to pay,,,,,,,,,LOT FF 21 WO UablPay,,,,,,
Liveoak Technologies15 WitholdingTax Expense,,,,,,,,,LOT FF 15 WHT Expens,,,,,,
Liveoak Technologies22 Account Bal Transfer,,,,,,,,,LOT FF 22 ACTBalxfer,,,,,,
Liveoak Technologies26 WO Bank Fees,,,,,,,,,LOT FF 26 WO BankFee,,,,,,
Liveoak Technologies12 Adj OR Cancel Replace,,,,,,,,,LOT 12 Adj R CX RPLC,,,,,,
Liveoak Technologies14 Contract Termination,,,,,,,,,LOT14 CNTRCT TRMN,,,,,,
Liveoak Technologies16 Contractual Credit,,,,,,,,,LOT 16 CNTRCT CR,,,,,,
Liveoak Technologies17 WO Bankrupt,,,,,,,,,LOT FF 17 WO Bankrpt,,,,,,
Liveoak Technologies11 Billing Correction,,,,,,,,,LOT 11 Billing CX,,,,,,
Liveoak Technologies13 Concession Credit,,,,,,,,,LOT 13 Concession CR,,,,,,
DocuSign International (EMEA) Limited18 WO Customer Dispute,,,,,,,,,DIE FF 18 WO CX Disp,,,,,,
DocuSign International (EMEA) Limited19 WO Low Value,,,,,,,,,DIE FF 19 WO Low Val,,,,,,
DocuSign International (EMEA) Limited20 WO Uncontactable,,,,,,,,,DIE FF 19 WO Low Val,,,,,,
DocuSign International (EMEA) Limited21 WO Unable to pay,,,,,,,,,DIE FF 21 WO UablPay,,,,,,
DocuSign International (EMEA) Limited15 WitholdingTax Expense,,,,,,,,,DIE FF 15 WHT Expens,,,,,,
DocuSign International (EMEA) Limited22 Account Bal Transfer,,,,,,,,,DIE FF 22 ACTBalxfer,,,,,,
DocuSign International (EMEA) Limited26 WO Bank Fees,,,,,,,,,DIE FF 26 WO BankFee,,,,,,
DocuSign International (EMEA) Limited12 Adj OR Cancel Replace,,,,,,,,,DIE 12 Adj R CX RPLC,,,,,,
DocuSign International (EMEA) Limited14 Contract Termination,,,,,,,,,DIE14 CNTRCT TRMN,,,,,,
DocuSign International (EMEA) Limited16 Contractual Credit,,,,,,,,,DIE 16 CNTRCT CR,,,,,,
DocuSign International (EMEA) Limited17 WO Bankrupt,,,,,,,,,DIE FF 17 WO Bankrpt,,,,,,
DocuSign International (EMEA) Limited11 Billing Correction,,,,,,,,,DIE 11 Billing CX,,,,,,
DocuSign International (EMEA) Limited13 Concession Credit,,,,,,,,,DIE 13 Concession CR,,,,,,
DS France SAS18 WO Customer Dispute,,,,,,,,,DFS FF 18 WO CX Disp,,,,,,
DS France SAS19 WO Low Value,,,,,,,,,DFS FF 19 WO Low Val,,,,,,
DS France SAS20 WO Uncontactable,,,,,,,,,DFS FF 19 WO Low Val,,,,,,
DS France SAS21 WO Unable to pay,,,,,,,,,DFS FF 21 WO UablPay,,,,,,
DS France SAS15 WitholdingTax Expense,,,,,,,,,DFS FF 15 WHT Expens,,,,,,
DS France SAS22 Account Bal Transfer,,,,,,,,,DFS FF 22 ACTBalxfer,,,,,,
DS France SAS26 WO Bank Fees,,,,,,,,,DFS FF 26 WO BankFee,,,,,,
DS France SAS12 Adj OR Cancel Replace,,,,,,,,,DFS 12 Adj R CX RPLC,,,,,,
DS France SAS14 Contract Termination,,,,,,,,,DFS14 CNTRCT TRMN,,,,,,
DS France SAS16 Contractual Credit,,,,,,,,,DFS 16 CNTRCT CR,,,,,,
DS France SAS17 WO Bankrupt,,,,,,,,,DFS FF 17 WO Bankrpt,,,,,,
DS France SAS11 Billing Correction,,,,,,,,,DFS 11 Billing CX,,,,,,
DS France SAS13 Concession Credit,,,,,,,,,DFS 13 Concession CR,,,,,,
DocuSign Israel Ltd.18 WO Customer Dispute,,,,,,,,,DFS FF 18 WO CX Disp,,,,,,
DocuSign Israel Ltd.19 WO Low Value,,,,,,,,,DFS FF 19 WO Low Val,,,,,,
DocuSign Israel Ltd.20 WO Uncontactable,,,,,,,,,DFS FF 19 WO Low Val,,,,,,
DocuSign Israel Ltd.21 WO Unable to pay,,,,,,,,,DFS FF 21 WO UablPay,,,,,,
DocuSign Israel Ltd.15 WitholdingTax Expense,,,,,,,,,DFS FF 15 WHT Expens,,,,,,
DocuSign Israel Ltd.22 Account Bal Transfer,,,,,,,,,DFS FF 22 ACTBalxfer,,,,,,
DocuSign Israel Ltd.26 WO Bank Fees,,,,,,,,,DFS FF 26 WO BankFee,,,,,,
DocuSign Israel Ltd.12 Adj OR Cancel Replace,,,,,,,,,DFS 12 Adj R CX RPLC,,,,,,
DocuSign Israel Ltd.14 Contract Termination,,,,,,,,,DFS14 CNTRCT TRMN,,,,,,
DocuSign Israel Ltd.16 Contractual Credit,,,,,,,,,DFS 16 CNTRCT CR,,,,,,
DocuSign Israel Ltd.17 WO Bankrupt,,,,,,,,,DFS FF 17 WO Bankrpt,,,,,,
DocuSign Israel Ltd.11 Billing Correction,,,,,,,,,DFS 11 Billing CX,,,,,,
DocuSign Israel Ltd.13 Concession Credit,,,,,,,,,DFS 13 Concession CR,,,,,,
Seal Software Limited (UK)18 WO Customer Dispute,,,,,,,,,SSL FF 18 WO CX Disp,,,,,,
Seal Software Limited (UK)19 WO Low Value,,,,,,,,,SSL FF 19 WO Low Val,,,,,,
Seal Software Limited (UK)20 WO Uncontactable,,,,,,,,,SSL FF 19 WO Low Val,,,,,,
Seal Software Limited (UK)21 WO Unable to pay,,,,,,,,,SSL FF 21 WO UablPay,,,,,,
Seal Software Limited (UK)15 WitholdingTax Expense,,,,,,,,,SSL FF 15 WHT Expens,,,,,,
Seal Software Limited (UK)22 Account Bal Transfer,,,,,,,,,SSL FF 22 ACTBalxfer,,,,,,
Seal Software Limited (UK)26 WO Bank Fees,,,,,,,,,SSL FF 26 WO BankFee,,,,,,
Seal Software Limited (UK)12 Adj OR Cancel Replace,,,,,,,,,SSL 12 Adj R CX RPLC,,,,,,
Seal Software Limited (UK)14 Contract Termination,,,,,,,,,SSL14 CNTRCT TRMN,,,,,,
Seal Software Limited (UK)16 Contractual Credit,,,,,,,,,SSL 16 CNTRCT CR,,,,,,
Seal Software Limited (UK)17 WO Bankrupt,,,,,,,,,SSL FF 17 WO Bankrpt,,,,,,
Seal Software Limited (UK)11 Billing Correction,,,,,,,,,SSL 11 Billing CX,,,,,,
Seal Software Limited (UK)13 Concession Credit,,,,,,,,,SSL 13 Concession CR,,,,,,
