DVM,CIF_ERPLookups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterfaceID,IntegrationName,SourceFilePath,SourceFileNamePattern,TargetFilePath,TargetFileName,TargetFilePathFBDI,TargetFileNameFBDI,ToEmailAddress,CustomReportPath,FromEmailAddress,SuccessEmailSubject,ErrorEmailSubject,EmailBody,ErrorThreshold,ICSFilePath,IntegrationType,JobPackage,JobName,FBDIFileName,FBDIFilePath,ManifestFileName,FBDIZipFileName,InboundFileType,ERPServiceParameters,BoundarySystemEmailAddress,BusinessEmailAddress,ICSFBDIZipFilePath,ICSFBDIZipArchivePath,StageTableName,Env_Name,Merchant_ID,ArchiveFilePath,ArchiveFileName
Test,FF_ORACLE_AR,/home/users/sawasthi1@kpmg.com/LT/Source/,RaInterfaceLinesAll,/home/users/sawasthi1@kpmg.com/LT/target/,RaInterfaceLinesAll,/home/users/sawasthi1@kpmg.com/LT/,RaInterfaceLinesAll.csv,chinmayihv@kpmg.com,,no-reply@oracle.com,Success:Integration,Error:Integration,,,,Inbound,/oracle/apps/ess/financials/receivables/transactions/autoInvoices/,AutoInvoiceImportEss,RaInterfaceLinesAll.csv,/home/users/sawasthi1@kpmg.com/LT/,RaInterfaceLinesAll.properties,RaInterfaceLinesAll,,,,,,,,,,,
ASP2975,AR_OB_Oracle_AR_To_RevPro,/ERP/Finance/Outbound/AR_To_RevPro,,,,,,"dharanidharanb1@kpmg.com,talelelochanad@kpmg.com,anjanikumari@kpmg.com",/Custom/InterfaceReport/Report/DS_AR_RPT_Oracle_to_RevPro.xdo,no-reply@oracle.com,,,,,,Outbound,Custom/InterfaceReport/Report,DS_AR_OB_REVPRO,,,,,,,,,,,,DEV1,,,
ASP5648,PIM_OB_OraclePIM_To_RevPro,,,,,,,talelelochanad@kpmg.com,,no-reply@oracle.com,,,,,,Outbound,Custom/InterfaceReport/Report,DS_OSS_OB_REVPRO,,,,,,,,,,,,DEV1,,,
ASP1911,GL_IB_XigniteToOracleGL,/home/users/sawasthi1@kpmg.com/Xignite/Source/,GlDailyRatesInterface,/home/users/sawasthi1@kpmg.com/Xignite/Target/,GlDailyRatesInterface,/home/users/sawasthi1@kpmg.com/Xignite/,GlDailyRatesInterface.csv,"keerthananjanikumari@kpmg.com,manaschoudhury@kpmg.comam@kpmg.com",,no-reply@oracle.com,Success:Integration GL_IB_XigniteToOracleGL,Error:Integration GL_IB_XigniteToOracleGL,Integration Successful,,,Inbound,/oracle/apps/ess/financials/generalLedger/programs/common/,,GlDailyRatesInterface.csv,/home/users/sawasthi1@kpmg.com/Xignite/,GlDailyRatesInterface,GlDailyRatesInterface,,,,,,,,,,,
ASP1865,GL_IB_RevproToOracleGL,/home/users/sawasthi1@kpmg.com/RevPro/Source/,GlInterface_FBDI,/home/users/sawasthi1@kpmg.com/RevPro/Target/,GlInterface_FBDI,/home/users/sawasthi1@kpmg.com/RevPro/,GlInterface_FBDI.csv,"talelelochanad@kpmg.com,anjanikumari@kpmg.com,manaschoudhury@kpmg.com",,no-reply@oracle.com,Success: Integration GL_IB_RevproToOracleGL,Error: Integration GL_IB_RevproToOracleGL,Integration Successful,,,Inbound,/oracle/apps/ess/financials/generalLedger/programs/common/,JournalImportLauncher,GlInterface.csv,/home/users/sawasthi1@kpmg.com/RevPro/,GlInterface_FBDI.properties,GlInterface_FBDI,,,,,,,,,,,
ASP1909,GL_IB_ADPToOracleGL,/ERP/Finance/Inbound/GL_IB_ADP/Source,MockupdatafromADP 052421,/ERP/Finance/Inbound/GL_IB_ADP/Target,GlInterface_FBDI,/ERP/Finance/Inbound/GL_IB_ADP/,GlInterface_FBDI.csv,Divyanshua@kpmg.com,,no-reply@oracle.com,Success:Integration  GL_IB_ADPToOracleGL,Error:Integration  GL_IB_ADPToOracleGL,Integration Successful,,,Inbound,/oracle/apps/ess/financials/generalLedger/programs/common/,JournalImportLauncher,GlInterface_FBDI.csv,/ERP/Finance/Inbound/GL_IB_ADP/,GlInterface_FBDI,GlInterface_FBDI,,,,Divyanshua@kpmg.com,,,,,,,
ASP3344_I,AR_IB_FinancialForceInvoicesToOracleAR,,,,,,,"chinmayihv@kpmg.com,manaschoudhury@kpmg.com",/Custom/InterfaceReport/Report/DS_AR_RPT_GetARTransactionDetailsFromOracle.xdo,no-reply@oracle.com,Success: Integration AR_IB_FinancialForceInvoicesToOracleAR,Error: Integration AR_IB_FinancialForceInvoicesToOracleAR,Integration Successful,,,Inbound,/oracle/apps/ess/financials/receivables/transactions/autoInvoices/,AutoInvoiceMasterEss,RaInterfaceLinesAll.csv,/home/users/sawasthi1@kpmg.com/FinancialForce/,RaInterfaceLinesAll_INV,RaInterfaceLinesAll_INV,,,,,,,,,,,
ASP5536,AR_IB_OracleProvisioningSync,,,,,,,keerthanam@kpmg.com,,no-reply@oracle.com,Success:Integration AR_IB_OracleProvisioningSync,Error:Integration AR_IB_OracleProvisioningSync,,,,Inbound,,,,,,,,,,,,,,,,,
ASP5562,OSS_OB_DeleteCreditCard_CyberSource,,,,,,,jorgevarela1@kpmg.com.mx,,no-reply@oracle.com,Success:Integration OSS_OB_DeleteCreditCard_CyberSource,Error: Integration OSS_OB_DeleteCreditCard_CyberSource,Integration Successful,,,Outbound,,,,,,,,,,,,,,,wfgdocusignusd,,
ASP1913,AP_IB_ XACTLY_OraclePayables,/ERP/Finance/Inbound/AP_IB_Xactly/Source,ApInvoice*,/ERP/Finance/Inbound/AP_IB_Xactly/Target,ApInvoice*,/ERP/Finance/Inbound/AP_IB_Xactly/FBDI,ApInvoice*,Divyanshua@kpmg.com,,no-reply@oracle.com,Success:Integration  AP_IB_ XACTLY_OraclePayables,Error:Integration  AP_IB_ XACTLY_OraclePayables,Integration Successful,,,Inbound,/oracle/apps/ess/financials/payables/invoices/transactions/,APXIIMPT,,/ERP/Finance/Inbound/AP_IB_Xactly/FBDI,apinvoiceimport,apinvoiceimport,,,,Divyanshua@kpmg.com,,,,,,,
ASP5562-1,OSS_OB_UpdateAssignmentInactiveON,,,,,,,chinmayihv@kpmg.com,/Custom/InterfaceReport/Report/DS_OSS_RPT_UpdateAssignInactiveDateOnCreditCard.xdo,no-reply@oracle.com,Success:Integration OSS_OB_UpdateAssignmentInactiveON,Error: Integration OSS_OB_UpdateAssignmentInactiveON,Integration Successful,,,Outbound,,,,,,,,,,,,,,,,,
ASP5561,AR_IB_CreditCardRetry,,,,,,,polagowthami@kpmg.com,/Custom/InterfaceReport/Report/DS_AR_RPT_CCRetryInvoices.xdo,no-reply@oracle.com,Success:Integration AR_IB_CreditCardRetry,Error: Integration AR_IB_CreditCardRetry,Integration Successful,,,Inbound,/oracle/apps/ess/financials/receivables/receipts/manualBatches/,AutomaticReceiptsCreationMasterEss,,,,,,,,,,,,,,,
ASP1858-P,OSS_IB_SFDC_Order_Billing_Sync_Parent,,,,,,,vijayareddy1@kpmg.com,,no-reply@oracle.com,Success:Integration OSS_IB_SFDC_Order_Billing_Sync_Parent,Error: Integration OSS_IB_SFDC_Order_Billing_Sync_Parent,Integration Successful,,,Outbound,,,,,,,,,,,,,,,,,
ASP1858-C,OSS_IB_SFDC_Order_Billing_Async_Child,,,,,,,vijayareddy1@kpmg.com,,no-reply@oracle.com,Success:Integration OSS_IB_SFDC_Order_Billing_Async_Child,Error: Integration OSS_IB_SFDC_Order_Billing_Async_Child,Integration Successful,,,Outbound,,,,,,,,,,,,,,,,,
ASP1855,AR_IB_SFDC_AccountAndContactUpdate,,,,,,,keerthanam@kpmg.com,,no-reply@oracle.com,Notification(DEV01): AR_IB_SFDC_AccountAndContactUpdate,Notification(DEV01): AR_IB_SFDC_AccountAndContactUpdate,,,,Inbound,,,,,,,,,,,,,,,,,
ASP-6546,AR_OB_SFProvisioningSync,,,,,,,"sumitk1@kpmg.com,keerthanam@kpmg.com",,no-reply@oracle.com,Success:AR_OB_SFProvisioningSync,Error: AR_OB_SFProvisioningSync,,,,OutBound,,,,,,,,,,,,,,,,,
ASP5422,AR_OB_YayPay_BillingData,,,,,,,anushanemalipuri@kpmg.com,,no-reply@oracle.com,Success (DEV1) : AR_OB_YayPay_BillingData,Error: AR_OB_YayPay_BillingData,,,,Outbound,,,,,,,,,,,,,,,,,
ASP1883,OSS_OB_UploadOSSObects,/home/users/jorgevarela1@kpmg.com.mx/Snowflake/Source/OSS,,/home/users/jorgevarela1@kpmg.com.mx/Snowflake/Target/OSS,OSS_ESSJobs.csv,,,jorgevarela1@kpmg.com.mx,,no-reply@oracle.com,Success: OSS_OB_UploadSubscriptionProduct_Snowflake,Error: OSS_OB_UploadSubscriptionProduct_Snowflake,,,,Outbound,,,,,,,,,,,,,,,,,
ASP1864,OSS_OB_Oracle_To_RevPro,,.csv,/ERP/OSS/Outbound/OSS_To_RevPro,OSS_To_*.csv,,,"talelelochanad@kpmg.com,anjanikumari@kpmg.com",Custom/InterfaceReport/Report/DS_OSS_RPT_Oracle_to_RevPro.xdo,no-reply@oracle.com,,,,,,Outbound,/oracle/apps/ess/custom/Custom/InterfaceReport/Report,DS_ESS_OSS_OB_REVPRO,,,,,,,,,,,,,,,
ASP2704-C,XigniteToOracleGLFBDICorporate,/home/users/vangalakuditi@kpmg.com/Xignite/Source,Currencies.csv,/home/users/vangalakuditi@kpmg.com/Xignite/Target,OracleGLDailyRatesCorporate,/fbdi,,vangalakuditi@kpmg.com,,no-reply@oracle.com,Success: Xignite_IB_GLDailyRatesCorporate_OracleCloudERP,Error: Xignite_IB_GLDailyRatesCorporate_OracleCloudERP,,,,Inbound,,,GlDailyRatesInterface.csv,/fbdi,,,,,,,,/home/users/vangalakuditi@kpmg.com/Xignite/Archive,,,,/home/users/vangalakuditi@kpmg.com/Xignite/Archive,OracleGLDailyRatesCorporate_*.csv
ASP2704-PE,XigniteToOracleGLFBDIPeriodEnd,/home/users/vangalakuditi@kpmg.com/Xignite/Source,Currencies.csv,/home/users/vangalakuditi@kpmg.com/Xignite/Target,OracleGLDailyRatesPeriodEnd,/fbdi,,vangalakuditi@kpmg.com,,no-reply@oracle.com,Success: Xignite_IB_GLDailyRatesPeriodEnd_OracleCloudERP,Error: Xignite_IB_GLDailyRatesPeriodEnd_OracleCloudERP,,,,Inbound,,,GlDailyRatesInterface.csv,/fbdi,,,,,,,,/home/users/vangalakuditi@kpmg.com/Xignite/Archive,,,,/home/users/vangalakuditi@kpmg.com/Xignite/Archive,OracleGLDailyRatesPeriodEnd_*.csv
ASP2704-PA,XigniteToOracleGLFBDIPeriodAverage,/home/users/vangalakuditi@kpmg.com/Xignite/Source,Currencies.csv,/home/users/vangalakuditi@kpmg.com/Xignite/Target,OracleGLDailyRatesPeriodAverage,/fbdi,,vangalakuditi@kpmg.com,,no-reply@oracle.com,Success: Xignite_IB_GLDailyRatesPeriodAverage_OracleCloudERP,Error: Xignite_IB_GLDailyRatesPeriodAverage_OracleCloudERP,,,,Inbound,,,GlDailyRatesInterface.csv,/fbdi,,,,,,,,/home/users/vangalakuditi@kpmg.com/Xignite/Archive,,,,/home/users/vangalakuditi@kpmg.com/Xignite/Archive,OracleGLDailyRatesAverage_*.csv
ASP2968,OSS_OB_UploadARObjects,/home/users/jorgevarela1@kpmg.com.mx/Snowflake/Source/AR,,/home/users/jorgevarela1@kpmg.com.mx/Snowflake/Target/AR,AR_ESSJobs.csv,,,jorgevarela1@kpmg.com.mx,,no-reply@oracle.com,Success: OSS_OB_UploadARObjects,Error: OSS_OB_UploadARObjects,,,,Outbound,,,,,,,,,,,,,,,,,
ASP-1906,HCM_IB_SuccessFactors_WorkerImport,/ERP/Finance/Inbound/HCM_IB_Workday_WorkerImport,employee*,,,,,kreddy9@kpmg.com,/Custom/InterfaceReport/Report/DS_HCM_RPT_DepartmentDetails.xdo,no-reply@oracle.com,,Error:HCM_IB_SuccessFactors_WorkerImport,,,,Inbound,,,,,,,,,,,,/ERP/Finance/Inbound/HCM_IB_Workday_WorkerImport/Archive,,,,/ERP/Finance/Inbound/HCM_IB_Workday_WorkerImport/Archive,
ASP1881_B,AR_IB_BOFA_LockboxPaymentReceipt,/outgoing/,arlockboximportgenbai2_LBX,,,,,"kirankumars2@kpmg.com,manaschoudhury@kpmg.com",/Custom/InterfaceReport/Report/DS_AR_RPT_Lockbox.xdo,no-reply@oracle.com,Success: Integration  AR_IB_BOFA_PaymentsToOracle,Error: Integration  AR_IB_BOFA_PaymentsToOracle,,,/ERP/Finance/Inbound/AR_IB_BOFA_PaymentsToOracle/BOFA,Inbound,/oracle/apps/ess/financials/receivables/receipts/lockboxes/,ProcessLockboxesMasterEss,arlockboximportgenbai2_LBX.dat,/ERP/Finance/Inbound/AR_IB_BOFA_PaymentsToOracle/fbdi,ArLBInterface,arlockboximportgenbai2.zip,,,,,,,,,,,
ASP1857,PIM_OB_SFDC_ProductSync,,,,,,,divyanshua@kpmg.com,,no-reply@oracle.com,,,,,,Outbound,,,,,,,,,,,,,,,,,
ASP1854,AR_OB_SFDC_DirectSalesInvoice,,,,,,,keerthanam@kpmg.com,,no-reply@oracle.com,Success: Integration AR_OB_SFDC_DirectSalesInvoice,Error: Integration AR_OB_SFDC_DirectSalesInvoice,,,,Outbound,,,,,,,,,,,,,,,,,
ASP3344_C,AR_IB_FinancialForceCreditMemosToOracleAR,,,,,,,"chinmayihv@kpmg.com,manaschoudhury@kpmg.com",/Custom/InterfaceReport/Report/DS_AR_RPT_GetARTransactionDetailsFromOracle.xdo,no-reply@oracle.com,Success: Integration AR_IB_FinancialForceCreditMemosToOracleAR,Error: Integration AR_IB_FinancialForceCreditMemosToOracleAR,Integration Successful,,,Inbound,/oracle/apps/ess/financials/receivables/transactions/autoInvoices/,AutoInvoiceMasterEss,RaInterfaceLinesAll.csv,/home/users/sawasthi1@kpmg.com/FinancialForce/,RaInterfaceLinesAll_CM,RaInterfaceLinesAll_CM,,,,,,,,,,,
